Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MA,2017,"8         ",Female,13,Right-Handed,168,24,164,3,Car,25,0.354,35,Gymnastics,9000,8000,3000,4000,1000,5000,23.5,"Right foot",,,"Index finger",December,Fall,Yes,No,"No favorite",Water,History,"5 ",8,5,"Yes - other","Text messaging",10,10,7,4,2,0,0,2,5,1,5,5,0,1,"A lot","Some college","Punk rock",Fly,Healthy,Actor,Health
USA,CA,2017,"11        ",Female,17,Right-Handed,60,45,51,2,Car,10,4,4,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2012,"7         ",Female,12,Right-Handed,155,24,160,2,Car,30,0.843,39,Soccer,74,69,57,61,300,210,25,"Left foot",75,77,"Ring finger",April,Summer,No,No,Desserts,Juice,English,11,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,69,18,22,,,,,,,,,,,,,,,,
USA,SC,2015,"11        ",Male,17,Right-Handed,162,42,173,1.5,Car,10,.46,43,Skateboarding/Rollerblading,1000,1000,1000,1000,500,600,41.5,"Right foot",,8.5,"Ring finger",April,Fall,No,No,"No favorite",Juice,Science,5,9,5,"Yes - broadband connection","Cell phone",5,60,25,4,2,1,9,5,3,3,6,4,30,1,Some,"Graduate degree","Rap/Hip hop","Super strength",Famous,"Musician or singer",Environment
USA,NJ,2016,"12        ",Female,17,Right-Handed,147,26,137,1,Car,5,0.551,44,"Martial Arts",652,668,1000,738,64,118,26,"Same length",,60,"Index finger",December,Fall,Yes,No,Fruit,Water,Art,8,10,3,"Yes - other","Text messaging",30,20,12,4,20,4,8,0,6,2,15,3,10,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,"Wildlife, animals"
USA,NM,2011,"12        ",Female,17,Right-Handed,175,22.5,176.7,1,Car,5,0.469,48,Other,1000,1000,1000,,872,872,23,"Left foot",89,100,"Ring finger",June,Summer,No,No,"No favorite",Tea,"Mathematics and statistics",6,10,3,"Yes - broadband connection","Text messaging",130,145,12,1,6,2,0,0,4,7,8,2,10,1,Some,"Some college","Rap/Hip hop",Invisibility,Happy,Relative,"International aid"
USA,MI,2012,"12        ",Male,17,Right-Handed,191,29,194,1,Car,5,,,Tennis,,,,,,,29,"Same length",7.5,7.8,"Ring finger",February,Fall,No,No,Meat,Water,"Computers and technology",8,10,7,"Yes - broadband connection","In person",5,5,7,.5,5,7,12,1,3,1,5,9,2,2,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"International aid"
USA,GA,2010,"12        ",Female,17,Ambidextrous,108,27,162,1,Car,5,0.312,40,Tennis,862,465,727,,358,535,27,"Same length",9,7,"Index finger",May,Fall,No,Yes,Seafood,,"Computers and technology",5,3,3,"Yes - other","Text messaging",400,500,6,3,4,3,2,0,10,50,30,6,0,1,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,"International aid"
USA,OH,2018,"12        ",Male,39,Left-Handed,181,31,165,1,Car,11,0.443,55,Athletics,900,900,900,900,333,500,29,"Right foot",78,102,"Ring finger",July,Summer,Yes,No,Seafood,Water,"Social studies",5,5,2,"Yes - broadband connection","Cell phone",5,5,5,1,6,10,2,0,0,1,2,6,50,15,Some,"Graduate degree","Rap/Hip hop",Invisibility,Healthy,"Community leader or elder","Education/Youth development"
USA,NJ,2016,"12        ",Female,17,Right-Handed,172,122,171,1,Car,8,.537,43,Athletics,1000,358,310,487,840,840,122,"Same length",75,80,"Ring finger",July,Summer,No,No,"Rice/Noodle dishes",Water,Science,7,9,4,"Yes - broadband connection","Text messaging",75,75,8,3,3,2,2,0,8,10,8,3,15,2,Some,"Graduate degree","Punk rock","Freeze time",Healthy,"Musician or singer",Health
USA,MI,2015,"12        ",Male,17,Right-Handed,,24,,2,Bus,"20 ",0.418,44,Soccer,503,497,786,503,64,160,24,"Same length",74,75,"Ring finger",June,Fall,No,No,Desserts,"Sports drink",,"7 ",5,5,"Yes - other","Internet chat or instant messaging",150,250,0,14,14,7,0,0,49,20,20,0,40,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Other
USA,NJ,2017,"12        ",Male,17,Right-Handed,174,26,178,1,Car,15,0.506,67,Other,1000,797,765,615,1000,1000,26,"Same length",9,9,"Same length",March,Winter,Yes,No,Meat,Juice,History,6,8,3,"Yes - broadband connection","In person",100,90,5,2,7,3,2,10,1,2,5,3,0,3,"A lot","Some college","Rock and roll",Telepathy,Happy,Other,Other
USA,SC,2016,"11        ",Male,16,Ambidextrous,185,26,181,2,Car,8,.363,43,Athletics,0,0,0,0,1000,1000,26,"Same length",8,9,"Ring finger",September,Winter,No,No,Salads,Water,Science,4,3,1,"Yes - broadband connection","Text messaging",10,10,10,1,1,0,20,15,10,2,10,0,0,0,"A lot","Less than high school","Rap/Hip hop","Freeze time",Rich,"Musician or singer",Other
USA,RI,2016,"12        ",Female,18,Right-Handed,152.5,22.5,58,2,Car,10,0.506,45,Other,5,50,1000,899,760,999,22,"Right foot",63.4,76.2,"Ring finger",March,Fall,Yes,No,Poultry,"Soft drink (caffeinated)",Languages,5,6,2,"No internet connection","Text messaging",250,300,1,4,1,80,0,0,0,50,50,0,0,0,"A lot","High school",Jazz,Invisibility,Healthy,"Business person","International aid"
USA,TX,2016,"12        ",Male,17,Right-Handed,170,27,176,1,Car,28,.365,48,Baseball/Softball,100,100,300,100,500,700,27.5,"Left foot",90,80,"Index finger",May,Summer,No,No,Meat,Water,"Computers and technology",5,11,3,"Yes - broadband connection","Text messaging",20,20,10,2,12,5,15,9,2,4,4,2,0,3,Some,"Graduate degree",Country,"Freeze time",Rich,"Sports person","Arts, culture, sports"
USA,MT,2015,"12        ",Male,16,Right-Handed,184,25.5,188,1,Car,10,.316,51,"Football (American)",327,355,283,261,305,189,25.5,"Same length",100.5,110,"Ring finger",March,Winter,No,No,Meat,"Soft drink (caffeinated)","Physical education",4,6,3,"Yes - broadband connection","Text messaging",550,500,60,8,0,20,20,0,0,100,0,0,0,0,None,"Graduate degree",Country,"Freeze time",Happy,Relative,Health
USA,GA,2010,"12        ",Male,17,Right-Handed,170,27,173,1,Car,15,.284,13,Other,0,100,300,,800,800,27,"Same length",75,80,"Ring finger",March,Summer,No,No,Meat,Other,Other,7,6,3,"Yes - broadband connection","Text messaging",51,78,35,.20,0,.50,0,0,0,35,5,10,3,0,Some,"Some college",Country,Telepathy,Happy,Friend,Environment
USA,TX,2014,"12        ",Female,17,Right-Handed,161,24,60,2,Car,10,.463,36,Running/Jogging,1000,1000,1000,1000,500,500,24,"Same length",70,80,"Ring finger",July,Summer,Yes,No,Fruit,Water,"Mathematics and statistics",10,14,4,"Yes - broadband connection","Internet chat or instant messaging",100,100,4,1,6,10,0,0,14,50,60,0,0,7,Some,"Graduate degree","Heavy metal","Super strength",Healthy,"Musician or singer","Wildlife, animals"
USA,IL,2017,"12        ",Male,18,Right-Handed,178,26,180,4,Car,14,0.292,54,"Football (American)",1000,900,1000,1000,900,1000,26,"Same length",80,90,"Ring finger",May,Spring,No,No,"No favorite",Juice,Languages,8,10,6,"Yes - other","Internet chat or instant messaging",30,35,3,1,3,21,18,8,7,5,10,10,0,2,Some,Other,Gospel,"Freeze time",Healthy,Relative,Health
USA,CA,2010,"12        ",Male,17,Left-Handed,178,23,178,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MI,2013,"12        ",Female,16,Right-Handed,160,24,160,1,Car,10,.363,33,Other,500,500,500,500,1000,1000,24,"Same length",66,83,"Ring finger",October,Summer,Yes,No,"Rice/Noodle dishes",Tea,"Mathematics and statistics",6,12,4,"Yes - other","Text messaging",100,100,0,0,3,6,2,0,2,8,0,8,0,4,"A lot",Other,Country,"Freeze time",Healthy,Relative,"Wildlife, animals"
USA,NC,2014,"10        ",Female,18,Right-Handed,169,16,161,1,Car,15,.326,44,None,1000,1000,1000,1000,1000,1000,16.5,"Left foot",9,9.3,"Ring finger",January,Winter,Yes,Yes,Desserts,Water,Science,10,10,2,"Yes - broadband connection","In person",5,5,2,2,2,2,2,2,2,2,2,2,2,2,Some,"Graduate degree",Other,Telepathy,Rich,"Religious figure","Wildlife, animals"
USA,GU,2014,"8         ",Female,14,Left-Handed,164,23.5,161,3,Car,20,0.417,55,Athletics,1000,1000,1000,1000,1000,1000,24,"Left foot",70,65,"Index finger",June,Summer,Yes,No,"Rice/Noodle dishes",Water,Music,5,3,,,,,,,,,,,,,,,,,,,,,,,,
USA,TN,2018,"12        ",Male,18,Right-Handed,173.7,25.4,,1,Car,5,.338,44,Other,497,503,1000,1000,668,636,25.4,"Same length",15,13,"Ring finger",September,Summer,No,No,"No favorite",Water,Music,8,23,4,"Yes - broadband connection","Cell phone",3,15,8,1,1.5,9,25,.5,2,.25,1,17,0,8,None,"High school",Other,"Freeze time",Happy,"Musician or singer","International aid"
USA,NC,2012,"5         ",Female,10,Right-Handed,140,19,133,1,Car,4,0.469,85,Baseball/Softball,900,800,650,780,800,800,19,"Same length",70,80,"Ring finger",May,Spring,Yes,No,Fruit,Water,Art,9,9,3,"Yes - broadband connection","Text messaging",900,800,27,14,5,3,12,4,5,70,7,22,2,3,Some,"Graduate degree",Country,Fly,Famous,"Coach or club leader",Environment
USA,CA,2018,"12        ",Male,17,Right-Handed,62,12,,2,Car,8,,,Soccer,,,,,,,,"Right foot",,,"Same length",June,Winter,No,No,,Water,Other,8,10,5,"Yes - other","In person",10,50,5,0,5,20,15,0,20,20,3,0,0,20,"A lot",,"Rock and roll","Freeze time",Famous,Other,Health
USA,NC,2014,"12        ",Female,17,Right-Handed,170,24,170,1,Bus,70,.034,43,Other,1000,780,900,900,300,500,24.2,"Left foot",90,100,"Same length",May,Fall,No,No,"No favorite",Water,Music,5,9,4,"Yes - other",Telephone,70,65,5,12,3,1,5,1,3,1,1,4,0,7,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,"Musician or singer",Health
USA,CA,2014,"7         ",Female,12,Left-Handed,157,25,167,1,Car,27,0.466,43,Swimming,727,733,999,738,1000,1000,25,"Same length",68,71,"Ring finger",June,Summer,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2014,"11        ",Female,16,Right-Handed,168,23.5,157,1,Car,2,.419,48,Walking/Hiking,450,400,300,400,600,750,23.25,"Right foot",77.5,70,"Index finger",October,Spring,No,No,Pizza/Pasta,"Soft drink (caffeinated)",Science,5.5,8,4,"Yes - broadband connection","In person",25,25,12,.25,4,1,2,.5,.5,3,5,3,0,3,Some,"Graduate degree",Other,Invisibility,Happy,Relative,Health
USA,IN,2011,"12        ",Female,18,Right-Handed,167,25,158,2,Car,9,0.359,40,Soccer,500,500,500,,700,800,24,"Right foot",95,80,"Index finger",April,Summer,Yes,No,"Rice/Noodle dishes","Soft drink (caffeinated)",English,7,10,3,"Yes - other","Text messaging",200,200,3,2,2,6,8,0,2,5,4,6,0,3,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,WI,2017,"11        ",Female,16,Right-Handed,162,22,162,1,Car,3,.407,36,Dancing,300,300,300,300,1000,1000,,,,,,December,Summer,Yes,No,Pizza/Pasta,Water,Science,7,,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,34,20,.5,3,5,5,0,5,1,.5,3,15,1,Some,"Graduate degree",,Telepathy,Happy,Relative,Health
USA,PA,2019,"9         ",Female,15,Right-Handed,164,24,164,1,Car,7,0.4,39,None,818,524,647,561,48,299,23,"Right foot",70,67,"Ring finger",March,Fall,No,No,Other,Tea,Art,6,8,3,"Yes - broadband connection","Text messaging",150,200,8,9,12,3,1,0,19,7,44,0,0,6,"A lot","Graduate degree",Other,Fly,Happy,Friend,Other
USA,IN,2017,"12        ",Male,18,Right-Handed,172,23,167,2,Car,7,,,"Football (American)",200,500,100,200,900,1000,23,"Same length",85,90,"Index finger",December,Fall,No,No,Pizza/Pasta,Water,Languages,7,9,3,"Yes - other","Text messaging",35,60,6,0,2,3,3,8,1,1,15,5,30,3,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Happy,Relative,"Education/Youth development"
USA,CA,2016,"12        ",Female,16,Right-Handed,165,26,160,2,Walk,17,0.454,42,Swimming,759,100,856,829,797,880,25,"Right foot",7.5,7.8,"Same length",September,Winter,No,No,Pizza/Pasta,"Soft drink (caffeinated)",Art,6,10,4,"Yes - broadband connection","Text messaging",40,40,40,20,5,50,8,2,168,40,5,70,0,10,"A lot","Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,PA,2019,"6         ",Female,11,Right-Handed,153,23,150,1,Bus,20,0.422,35,Walking/Hiking,460,749,299,305,877,909,22,"Right foot",70,50,"Index finger",March,Fall,Yes,No,"No favorite",Water,"Mathematics and statistics",10,11,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",42,42,40,2,2,100,10,20,15,10,20,100,0,1,"Very little","Graduate degree",Country,Fly,Rich,Teacher,"International aid"
USA,IN,2016,"8         ",Male,13,Ambidextrous,,,,2,Car,15," .385",43,Swimming,,1000,1000,1000,500,500,,,,,"Ring finger",January,Winter,No,No,Vegetables,Water,Science,7,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IN,2017,"12        ",Female,17,Left-Handed,176,26,170,1,Car,15,.917,43,Other,1,100,10,1,100,1000,25,"Right foot",80,90,"Ring finger",January,Summer,No,No,Pizza/Pasta,"Soft drink (caffeinated)",English,7,5,4,"Yes - broadband connection","Text messaging",50,60,10,0,12,10,6,0,2,2,5,10,15,30,"A lot","Graduate degree",Pop,Telepathy,Happy,"Community leader or elder",Health
USA,MA,2015,"8         ",Female,13,Right-Handed,167,22,157,1,Bus,20,0.526,46,"Hockey (Field)",840,471,524,722,850,1000,22,"Same length",61,64,"Ring finger",April,Spring,Yes,No,Meat,Water,Music,7,11,4,"Yes - broadband connection","Text messaging",14,10,2,0,15,8,2,0,7,2,10,11,2,7,Some,Other,"Punk rock","Freeze time",Happy,Other,"Education/Youth development"
USA,CA,2016,"12        ",Male,17,Right-Handed,66,24,168,2,Car,27,0.391,,Other,900,500,1000,1000,700,1000,24,"Same length",70,75,"Ring finger",March,Summer,Yes,No,Meat,Water,"Social studies",7,9,5,"Yes - broadband connection","Text messaging",500,600,9,0,15,24,18,0,10,9,15,0,0,15,"A lot","Undergraduate degree","Rap/Hip hop","Freeze time",Happy,Relative,Environment
USA,MA,2013,"6         ",Male,11,Right-Handed,147.3,24.1,147.3,1,Car,4,.477,60,"Hockey (Ice)",800,900,1000,900,1000,1000,24.8,"Left foot",80.3,80.3,"Same length",April,Summer,No,No,Seafood,Milk,"Mathematics and statistics",9,8,5,"Yes - broadband connection","In person",1,5,6,0,5,5,12,2,0,1,1,3,0,,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,"Sports person","Wildlife, animals"
USA,GA,2011,"6         ",Female,11,Right-Handed,164,24,,1,Bus,25,0.437,59,Soccer,850,965,1000,,1000,1000,24,"Same length",60,70,"Ring finger",February,Spring,No,No,Pizza/Pasta,Juice,"Mathematics and statistics",8,12,4,"Yes - broadband connection","Text messaging",100,115,8,2,5,1,4,8,,,,,,,,,,,,,
USA,NY,2018,"12        ",Female,17,Right-Handed,158,25,,2,Walk,25,0.355,40,Bowling,800,800,800,800,800,800,25,"Same length",80,85,"Ring finger",June,Spring,No,No,"No favorite",Water,Art,6,7,4,"Yes - broadband connection","Internet chat or instant messaging",8,10,2,0,35,7,0,0,14,7,21,0,0,7,"A lot","Graduate degree",Other,Fly,Happy,Relative,Health
USA,CA,2016,"11        ",Female,17,Right-Handed,168,27,175,1,Bus,49,0.413,60,Walking/Hiking,600,600,900,600,600,600,28,"Left foot",80,83,"Ring finger",July,Spring,Yes,No,Seafood,Water,"Mathematics and statistics",7,10,5,"Yes - other","In person",30,25,50,50,10,15,30,0,30,80,60,5,30,10,"A lot","Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Relative,"International aid"
USA,NY,2019,"10        ",Male,16,Right-Handed,6,11,6’1,2,"Rail (Train/Tram/Subway)",1:30,.729,66”,Basketball,1000,0,1,1,500,1000,11,"Same length",76,68,"Index finger",February,Summer,Yes,No,Poultry,Water,"Mathematics and statistics",7,10,5,"Yes - broadband connection","Text messaging",10,300,5,.5,12,.2,13,7,10,3,5,0,0,2,"A lot","Undergraduate degree","Rap/Hip hop",Telepathy,Happy,"Business person","Wildlife, animals"
USA,OK,2017,"12        ",Female,16,Left-Handed,"164 ",24,157,1,Car,5,.4,48,Other,750,750,750,500,500,600,24,"Same length",80,72,"Index finger",December,Fall,No,No,Meat,Tea,History,6,9,6,"Yes - broadband connection","Text messaging",5,12,10,1,20,25,20,0,10,4,4,0,0,2,"A lot","Graduate degree",Country,"Freeze time",Happy,Relative,Health
USA,WA,2016,"6         ",Female,12,Right-Handed,1.70,26,1.78,3,Bus,50,0.379,35,Soccer,650,0,800,500,500,1000,26,"Same length",60.5,70,"Ring finger",September,Fall,Yes,No,Pizza/Pasta,Water,Art,8,11,3,"Yes - other","Internet chat or instant messaging",87,200,5,2,1,6,3,0,24,24,4,1,0,0,"A lot","Graduate degree",Pop,Fly,Happy,"Musician or singer","International aid"
USA,CO,2016,"12        ",Male,17,Right-Handed,152.4,320.0,640.0,2,Car,15,0.334,25,Other,5,6,1,4,2,3,320.0,"Same length",76.2,76.2,"Ring finger",June,Winter,No,No,Meat,Water,Languages,7,9,6,"Yes - broadband connection","Internet chat or instant messaging",0,0,2,0,3,3,2,6,0,0,6,4,4,1,"A lot","Some college","Rock and roll",Invisibility,Happy,Actor,"Education/Youth development"
USA,OH,2012,"4         ",Female,10,Right-Handed,130,20,125,1,Car,10,0.471,48,Tennis,840,690,818,326,150,150,19,"Right foot",100,95,"Index finger",March,Summer,Yes,No,Desserts,"Soft drink (non-caffeinated)","Computers and technology",9,8,5,"Yes - broadband connection","In person",0,0,21,0,2,28,7,3,0,0,5,3,0,1,"A lot","Some college",Pop,"Freeze time",Healthy,Relative,"Wildlife, animals"
USA,WI,2014,"8         ",Female,14,Right-Handed,160,24,139,1,Walk,12,.509,46,Athletics,500,1000,485,700,300,1000,24,"Same length",16,15,"Index finger",July,Summer,No,No,Pizza/Pasta,Water,Science,9,5,5,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",0,0,7,1,4,4,8,15,15,15,15,15,0,6,"A lot","Graduate degree",Pop,Invisibility,Famous,"Musician or singer",Health
USA,KS,2019,"12        ",Female,17,Right-Handed,160,22,162,3,Car,8,.344,39,None,1000,1000,417,497,1000,1000,21,"Right foot",65,65,"Same length",November,Spring,No,Yes,"Rice/Noodle dishes",Water,Science,4,10,4,"Yes - broadband connection","Text messaging",80,100,8,2,20,4,0,0,25,15,30,10,6,0,"A lot","Graduate degree",Pop,Telepathy,Happy,Teacher,"Education/Youth development"
USA,TX,2019,"12        ",Female,17,Left-Handed,5'0,6,5,2,Car,10,0.747,8,Walking/Hiking,70,80,0,0,0,100,5,"Same length",1,1,,January,Winter,No,No,Seafood,Water,English,8,6,4,"Yes - broadband connection","Text messaging",10,20,4,1,2,10,0,0,5,5,5,1,0,2,"Very little","Graduate degree",Other,"Super strength",Rich,Actor,Health
USA,DC,2010,"10        ",Male,16,Right-Handed,170,25,175,1,"Rail (Train/Tram/Subway)",45,.35,52,Dancing,1000,1000,1000,,1000,1000,24,"Left foot",110,110,"Same length",January,Summer,No,No,Desserts,Water,"Computers and technology",7,15,3,"Yes - broadband connection","Text messaging",1000,1000,10,10,5,6,6,10,10,10,10,3,0,5,"A lot","High school","Rap/Hip hop",Invisibility,Healthy,Actor,"Arts, culture, sports"
USA,MD,2014,"7         ",Male,12,Right-Handed,153,26,161,0,Bus,35,.359,40,Other,900,890,700,400,1000,700,27,"Left foot",,8,"Index finger",July,Summer,Yes,No,Poultry,Milk,"Mathematics and statistics",8,10,5,"Yes - other","Text messaging",7,5,1,0,2,0,7,1,0,1,5,5,3,0,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Business person",Religious
USA,OH,2018,"12        ",Female,16,Right-Handed,167,23,163,1,Car,30,0.497,34,Other,791,791,535,540,1000,1000,24,"Left foot",90,80,"Index finger",July,Fall,No,No,Fruit,Water,"Mathematics and statistics",7,6,3,"Yes - broadband connection","Cell phone",45,60,10,12,8,80,14,0,50,50,50,49,16,9,Some,"Undergraduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,"Wildlife, animals"
USA,NC,2012,"12        ",Male,16,Right-Handed,187.9,30.48,164,1,Car,10,.406,42,"Football (American)",1000,750,850,,200,100,12,"Same length",8.5,9,"Ring finger",May,Fall,Yes,No,Seafood,Water,"Mathematics and statistics",6,6,4,"Yes - other","Cell phone",100,100,20,2,6,20,10,15,20,25,20,20,0,10,Some,"Graduate degree","Heavy metal","Freeze time",Happy,"Business person",Health
USA,NC,2018,"10        ",Male,15,Right-Handed,165.1,29,160,1,Car,20,0.412,40,Other,251,251,225,481,663,396,22,"Same length",75,84,"Ring finger",August,Summer,Yes,No,"No favorite","Soft drink (caffeinated)","Computers and technology",5,2,3,"Yes - broadband connection","In person",10,13,48,1,3,5,10,3,10,0,10,0,0,3,Some,"Graduate degree",Other,Invisibility,Happy,Friend,Health
USA,TX,2016,"5         ",Female,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,IN,2018,"11        ",Male,16,Right-Handed,173,,,1,Car,10,0.292,50,Tennis,750,500,600,850,600,900,,,,,,August,Summer,No,No,Meat,Water,Science,6.75,8.5,4,"Yes - broadband connection","Cell phone",25,25,5,0,12,2,5,5,20,2,20,8,0,4,"A lot","Graduate degree",Other,Fly,Happy,Teacher,"International aid"
